Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition,temp,dwpt,rhum,prcp,wdir,wspd
88,32.5,40.3,25.3,57,53.9,0,0,0,0,0,0,3.87,0.3,3.4,66,28.47,29.14,0.171428571,31.2,23.6,64,2.2,230,5.4
88,32.5,39,24.4,56,57.6,0,0,0,0,0,0,3.87,0.4,1.1,65,28.47,29.14,0,31.8,24.7,66,11,0,0
88,32.9,41,25.4,55,67.8,0,0,0,0,0,0,3.87,0.1,2.2,79,28.46,29.13,0.5,32,24.3,64,0,0,0
88,32.5,40.7,25.5,58,81.8,0,0,0,0,0,0,3.87,0.6,3.4,131,28.52,29.19,0.014285714,31.8,22.8,59,0,0,0
88,30.7,37.5,25.2,62,72,0,0,0.61,0.61,0,0.61,4.48,0.2,1.1,143,28.53,29.2,0,32.5,23.7,60,0,0,0
88,32.2,39.5,25,62,83.1,0,0,0,0,0,0.61,4.48,0,1.1,72,28.44,29.12,0.171428571,27.3,24.4,84,0.6,10,5.4
88,27.4,31.1,24.4,73,44.5,0,0,0.47,1.91,0,2.52,6.39,0,1.1,294,28.44,29.11,0.2,30.1,24.7,73,0,110,3.6
88,30.7,38.5,25.9,69,137.9,1,0,2.12,4.03,0,2.12,8.51,0.2,1.1,61,28.39,29.06,0.014285714,28.1,24.9,83,0,0,0
88,27.5,32.1,25.7,77,24,0,0,0.44,0.44,0,2.56,8.95,0,1.1,169,28.42,29.09,0.042857143,31.5,23.6,63,7.2,0,0
88,31.3,37.7,24.7,63,69.2,0,0,0.51,0.95,0,3.07,9.46,0.2,1.1,218,28.4,29.07,0.5,30.2,25.1,74,0,0,0
88,29.7,36.4,25.5,71,43.6,0,0,0.75,1.7,0,3.82,10.21,0,0,183,28.38,29.05,0.742857143,31,25.1,71,0,0,0
88,30.8,38.3,25.7,67,43.1,0,0,0,0,0,3.82,10.21,0.1,1.1,301,28.34,29.01,0.442857143,24.7,23,76,0,0,0
88,24.5,24.5,23.8,82,17.7,0,0.85,0.85,1.24,0.21,5.06,11.45,0.3,1.1,304,28.41,29.08,0.8,30.3,23.7,68,0,0,0
88,29.9,35.7,24.7,68,53.6,0,0,0.1,1.36,0,5.18,11.57,0.1,1.1,120,28.42,29.09,0.185714286,25.2,24.2,91,5,0,0
88,26.1,26.1,25,81,40.6,0,0,0.29,3.18,0,0.29,13.39,0,0,121,28.47,29.14,0,28,24.4,81,0,30,3.6
88,28.2,33,24.9,71,45.2,0,0,0.02,3.22,0,0.33,13.43,0.3,2.2,245,28.58,29.25,0.485714286,23.2,23.1,78,1,0,0
88,23.9,23.9,23.2,78,13.8,0,0.19,0.71,0.71,0.02,1.04,14.14,0,0,135,28.63,29.3,0.042857143,27.2,23.2,79,0,0,0
88,27.4,30.8,23.8,71,36.9,0,0,0.03,0.75,0,1.08,14.18,0.2,1.1,176,28.64,29.31,0,32.7,22.2,54,0,0,0
88,31.3,35.9,23,56,26.2,0,0,0,0,0,1.08,14.18,0.4,2.2,169,28.61,29.28,0,32.9,24.1,60,0,0,0
88,32.1,38.3,24.2,58,45.7,0,0,0,0,0,1.08,14.18,0.1,1.1,136,28.6,29.27,0,32.7,24.2,61,0,0,0
88,31.8,39.5,25.4,59,38.4,0,0,0,0,0,1.08,14.18,0.1,1.1,160,28.55,29.23,0,34,24.3,57,0.3,0,0
88,33.4,41.7,25.4,56,37,0,0,0,0,0,0,14.18,0.1,2.2,113,28.51,29.18,0.114285714,26.7,23.8,84,0.6,100,3.6
88,26.4,26.4,25.3,75,20.8,0,0,0.56,0.56,0,0.56,14.74,0.1,1.1,80,28.5,29.17,0,32,24.1,63,1.1,0,0
88,31,38.6,25.6,63,36.8,0,0,0,0.57,0,0.57,0,0.3,3.4,148,28.5,29.18,0.157142857,29.7,24.1,72,0,90,9.4
88,29.3,34.7,24.6,64,40.2,0,0,0.02,0,0,0.59,0.02,1.3,4.5,154,28.61,29.28,0.2,29.2,22.4,67,0.2,100,3.6
