Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition,temp,dwpt,rhum,prcp,wdir,wspd
89,30.1,36.4,25.1,64,0,0,0,0,0,0,0,3.87,0,1.1,104,28.5,29.17,28.77142857,29.5,23,68,0,230,3.6
88,30,35.6,24.5,62,0,0,0,0,0,0,0,3.87,0,0,63,28.51,29.18,26.86666667,29,24.8,78,0.3,290,3.6
88,30.7,37.9,25.5,63,0,0,0,0,0,0,0,3.87,0.1,1.1,253,28.53,29.2,24.54285714,31,25.8,74,0.7,0,0
88,30,36.9,25.5,66,0,0,0,0,0,0,0,3.87,0.2,2.2,121,28.55,29.22,25.91428571,29.2,25.2,79,0,130,3.6
88,28.7,34.3,25.3,69,0,0,0,0.61,0.61,0,0.61,4.48,0.4,4.5,127,28.55,29.22,22.85714286,27.9,24.5,82,0,240,7.9
88,29.1,35.7,26,71,0,0,0,0,0,0,0.61,4.48,0,1.1,150,28.48,29.15,24.07142857,27,25.6,92,0.5,0,0
88,26.3,26.3,24.5,77,0,0,0,0.47,1.91,0,2.52,6.39,0,0,287,28.46,29.13,20.22857143,27.5,24.6,84,1.8,260,3.6
88,27.8,32.9,25.7,76,0,0,0,2.12,4.03,0,2.12,8.51,0,0,54,28.46,29.13,17.77142857,27.7,25.3,87,0,250,1.8
88,26.6,27.8,25.6,81,0,0,0,0.44,0.44,0,2.56,8.95,0,0,169,28.47,29.14,22,29,24.8,78,4.9,250,1.8
88,28.9,34.2,24.9,69,0,0,0,0.51,0.95,0,3.07,9.46,0,0,208,28.42,29.09,23.95714286,29.5,27.1,87,0,0,0
88,28.2,33.9,26,76,0,0,0,0.75,1.7,0,3.82,10.21,0,0,183,28.43,29.1,24.28571429,30.5,27.3,83,3.9,0,0
88,29.2,36.8,26.7,74,0,0,0,0,0,0,3.82,10.21,0,0,319,28.38,29.05,22.12857143,24.2,23.9,98,0,240,3.6
88,24.3,24.3,23.7,83,0,0,0.07,0.87,1.26,0.01,5.08,11.47,0,1.1,45,28.45,29.12,22.82857143,29,25.8,83,1,130,3.6
88,27.4,31.5,25,74,0,0,0,0.1,1.36,0,5.18,11.57,0,0,120,28.47,29.14,19.7,25,24.3,96,2.1,0,0
88,24.8,24.8,23.6,81,0,0,0,0.29,3.18,0,0.29,13.39,0,0,73,28.53,29.2,19.71428571,27,24.8,88,0,0,0
88,26.7,29,24.1,74,0,0,0,0.02,3.22,0,0.33,13.43,0,1.1,263,28.62,29.29,18.2,23.6,23.4,99,2,50,5.4
88,23.9,23.9,23.4,80,0,0,0,0.71,0.71,0,1.04,14.14,0,0,135,28.67,29.34,18.72857143,26.5,24.3,88,0,100,3.6
