Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition,temp,dwpt,rhum,prcp,wdir,wspd
89,28.5,33.2,24.5,69,0,0,0,0,0,0,0,3.87,0.2,2.2,86,28.57,29.24,0,28,24.4,81,0,210,3.6
88,28.4,33.1,24.6,69,0,0,0,0,0,0,0,3.87,0,1.1,67,28.56,29.23,0,27,24.6,87,0.4,0,0
88,28.1,32.7,24.8,70,0,0,0,0,0,0,0,3.87,0.1,1.1,207,28.58,29.25,0.114285714,27,25.2,90,0,250,11.2
88,28,33.3,25.7,75,0,0,0,0,0,0,0,3.87,0,1.1,116,28.63,29.3,0.028571429,27.5,25.3,88,3.4,0,0
88,27.3,31.3,25.2,75,0,0,0,0.61,0.61,0,0.61,4.48,0.1,2.2,127,28.61,29.28,0.014285714,25.8,24.2,91,1.9,208,11.9
88,24.6,24.6,24,77,0,0,1.04,1.4,1.4,0.21,2.01,5.88,0,1.1,121,28.56,29.23,0.071428571,26.2,24.8,97,0,0,0
88,25.8,25.8,25,82,0,0,0,0.47,1.91,0,2.52,6.39,0,0,51,28.52,29.19,0.071428571,25,24.1,95,0.2,0,0
88,25.4,25.4,24.1,79,0,0,0,2.12,4.03,0,2.12,8.51,0,0,51,28.5,29.17,0.014285714,27,24.5,97,0.8,0,0
88,26.3,26.3,26.2,84,0,0,0,0.44,0.44,0,2.56,8.95,0,1.1,170,28.51,29.18,0,27.3,24.9,87,8,340,3.6
88,27.6,32.3,25.7,77,0,0,0,0.51,0.95,0,3.07,9.46,0,0,217,28.47,29.14,0.014285714,25.8,23.3,89,0,0,0
88,25.8,25.8,24.5,79,0,0,0,0.75,1.7,0,3.82,10.21,0,0,126,28.47,29.14,0.071428571,28.6,26.2,87,0,0,0
