Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition,temp,dwpt,rhum,prcp,wdir,wspd
88,33.5,41.4,25.1,54,163.2,1,0,0,0,0,0,3.87,0.6,2.2,62,28.47,29.14,0.057142857,33,24.5,61,0.2,220,9.4
88,34.1,41.5,24.6,52,154.5,1,0,0,0,0,0,3.87,0.6,2.2,112,28.46,29.13,0.1,34,25.1,60,1.5,220,5.4
88,35,43.9,25.4,50,156.4,1,0,0,0,0,0,3.87,0.5,2.2,92,28.45,29.12,0,34,25.1,60,0.5,120,5.4
88,34,42.4,25.3,54,124.2,1,0,0,0,0,0,3.87,0.2,3.4,129,28.51,29.18,0.014285714,32.6,24.6,63,0,190,3.6
88,32.5,39.8,24.9,56,107.9,1,0,0.61,0.61,0,0.61,4.48,0.2,3.4,87,28.52,29.19,0.314285714,33.7,24.3,58,0.3,0,0
88,32.8,40.4,25.1,60,122.5,1,0,0,0,0,0.61,4.48,0.1,1.1,114,28.44,29.11,0.285714286,27.7,26.1,91,0,320,5.4
88,27.9,32.2,24.6,72,115.9,1,0,0.47,1.91,0,2.52,6.39,0.4,2.2,201,28.45,29.12,0.257142857,30.1,26.7,82,0,0,0
88,31.2,39.2,25.9,67,133.5,1,0,2.12,4.03,0,2.12,8.51,0.1,1.1,74,28.39,29.06,0.2,29.5,26.7,85,0.2,130,3.6
88,27.8,32.8,25.7,75,118,1,0,0.44,0.44,0,2.56,8.95,0.1,2.2,187,28.42,29.09,0.228571429,32.5,24.3,62,1.8,160,5.4
88,31.6,38.5,24.9,60,119,1,0,0.51,0.95,0,3.07,9.46,0.5,2.2,200,28.38,29.05,0.271428571,31.3,25.4,71,0,80,3.6
88,30.5,37.5,25.4,68,109.6,1,0,0.75,1.7,0,3.82,10.21,0.1,1.1,171,28.36,29.04,0.242857143,32.5,25.6,67,0.6,310,5.4
88,31.8,40.5,26.1,66,93.1,0,0,0,0,0,3.82,10.21,0.1,2.2,242,28.33,29,0.985714286,26.8,24.8,89,0,270,5.4
88,26.5,26.8,25.1,81,104.2,1,0,0.5,0.89,0,4.71,11.1,0,1.1,30,28.4,29.07,0,31.7,24.3,65,0,160,3.6
88,31.1,38.1,25.1,64,74.3,0,0,0.1,1.36,0,5.18,11.57,0.1,1.1,131,28.42,29.09,1.271428571,28.2,25.8,87,0.5,0,0
88,26.2,26.2,25.2,80,62.5,0,0,0.29,3.18,0,0.29,13.39,0,1.1,130,28.46,29.13,0.942857143,29.9,25.2,76,0,0,0
88,29.3,35.1,25.2,68,134.1,1,0,0.02,3.22,0,0.33,13.43,0.3,2.2,201,28.57,29.24,1.842857143,24,23.3,96,0,320,9.4
88,24.1,24.1,23.3,77,34.8,0,0.5,0.61,0.61,0.1,0.94,14.04,0.2,2.2,130,28.63,29.3,0.385714286,28.3,24.3,79,0,10,5.4
88,28.6,33,24,69,157.1,1,0,0.03,0.75,0,1.08,14.18,0.8,4.5,183,28.64,29.31,0,33.5,23.8,57,0,50,5.4
88,32,36.5,22.7,51,34.2,0,0,0,0,0,1.08,14.18,0.5,3.4,144,28.6,29.27,0,34,24.9,59,0,340,5.4
88,33.9,40.7,24.2,53,145.8,1,0,0,0,0,1.08,14.18,0.3,1.1,141,28.58,29.25,0,33.5,24.7,60,0.3,0,0
88,33.9,42.4,25.3,53,122,1,0,0,0,0,1.08,14.18,0.5,4.5,218,28.55,29.22,0,35.5,24.8,54,0,220,3.6
88,35.1,44,25.4,51,89.2,0,0,0,0,0,0,14.18,0.3,2.2,101,28.5,29.17,0.642857143,27.8,24.4,82,1.4,192,9
88,26.3,26.3,25.1,72,31.6,0,0.07,0.54,0.54,0.01,0.54,14.72,0,1.1,95,28.5,29.17,1.2,33.5,25.8,64,0.2,130,5.4
88,31.8,39.4,25.4,58,53.1,0,0,0,0.57,0,0.57,0,0.8,2.2,151,28.49,29.16,0.428571429,32,24.9,66,0,100,3.6
88,30.5,36.9,24.9,60,108.8,1,0,0.02,0,0,0.59,0.02,1.2,4.5,154,28.6,29.27,0,32.5,22.6,56,1.1,70,3.6
88,30.4,35.1,23.4,56,118.7,1,0,0,0,0,0.59,0.02,0.4,2.2,166,28.63,29.3,0,32,21.8,55,0,170,5.4
88,30.4,33.2,21.4,49,60.5,0,0,0,0,0,0.59,0.02,0.4,2.2,140,28.66,29.33,0,32.5,17.6,41,0,40,3.6
88,31,31.9,18.2,41,48.4,0,0,0,0,0,0.59,0.02,1.2,4.5,177,28.63,29.31,0,32,21.2,53,0,50,5.4
88,31.1,34,21.1,47,67.2,0,0,0,0,0,0,0.02,0.3,1.1,150,28.66,29.33,0,32.8,22.9,56,0,0,0
88,31.9,36.8,23.1,51,104.8,1,0,0,0,0,0,0.02,0.4,1.1,181,28.67,29.34,1.285714286,33.1,23.7,58,0.4,10,9.4
88,30.7,35.5,23.4,55,79.1,0,0,0,0,0,0,0.02,1.1,3.4,172,28.64,29.31,0.057142857,33.2,22.9,55,0,20,7.6
88,32.2,36.4,22.4,49,84.4,0,0,0,0,0,0,0.02,0.8,3.4,200,28.61,29.28,0,32.5,21.4,52,0,0,0
88,31.7,34.6,21.1,47,128.6,1,0,0,0,0,0,0.02,0.2,2.2,136,28.61,29.28,0.4,33.1,21,49,0,90,5.4
88,32,34.8,20.9,45,56.5,0,0,0,0,0,0,0.02,0.7,2.2,195,28.59,29.26,0.171428571,33.5,22.6,53,0,320,9.4
88,32.4,37.9,23.5,53,108.9,1,0,0,0,0,0,0.03,0.4,2.2,163,28.48,29.28,0.085714286,32.5,22.3,55,0,90,3.6
88,33.1,37,21.9,45,46.3,0,0,0,0,0,0,0.03,0.4,2.2,167,28.44,29.24,0.057142857,33.4,20.9,48,0,90,7.6
88,33.2,38.3,22.9,47,44.5,0,0,0,0,0,0,0.03,0.4,3.4,167,28.43,29.23,0.242857143,35,23,50,0,60,3.6
88,31.2,39.2,25.9,61,76.9,0,0,0,0,0,0,0.03,0.5,3.4,131,28.59,29.24,0.014285714,31.5,24.6,67,0,130,3.6
88,29.8,36.3,25.4,69,121.4,1,0,0.11,0.11,0,0.13,0.16,0.2,1.1,252,28.63,29.29,0.1,33.5,24.7,60,0.1,0,0
88,32.7,39.1,24.2,55,84.4,0,0,0.72,0.83,0,0.72,0.88,1,4.5,143,28.66,29.31,0.057142857,32.7,25,64,2.8,120,5.4
88,32,38.4,24.4,56,96.4,0,0,0,0,0,0.72,0.88,1.1,5.8,163,28.62,29.28,0.071428571,29,23.9,74,0,30,3.6
88,29.1,34.4,24.8,64,76.9,0,0,0.01,0.01,0,0.73,0.89,0.1,1.1,200,28.63,29.28,0.014285714,33.5,24.9,61,0.2,100,9.4
88,30,34.6,23.5,56,84.7,0,0,0,0,0,0.73,0.89,1.4,5.8,196,28.67,29.33,0,32.5,24.3,62,3,40,9.4
88,31,33.8,21.1,49,54,0,0,0,0,0,0.75,0.91,0.8,3.4,200,28.61,29.27,0,31.3,25.2,70,0.2,120,13
88,32.5,37,22.5,51,91.5,0,0,0,0,0,0.75,0.91,0.4,2.2,183,28.55,29.2,0.285714286,27.3,22.5,75,0,90,14.8
88,30.5,34.1,22.1,53,109.5,1,0,0,0,0,0.75,0.91,0.2,2.2,145,28.48,29.13,0,32,22.4,57,0,300,3.6
88,25.8,25.8,22.8,69,30.5,0,0,0,0,0,0,0.91,0.5,2.2,138,28.5,29.15,0,33.6,22.7,53,0,360,3.6
88,29.4,31.9,21.1,55,90.9,0,0,0,0.04,0,0.04,0.95,0.1,1.1,170,28.52,29.18,0.257142857,31,22.3,60,0,100,5.4
88,31.5,34.9,21.8,49,88.7,0,0,0,0,0,0.04,0.95,0.8,3.4,181,28.56,29.22,0.028571429,28,26.6,92,0,0,0
88,31.5,35.1,21.9,50,53.9,0,0,0,0,0,0.04,0.95,0.6,2.2,195,28.62,29.27,0,30,21.1,59,0,0,0
88,31.5,36.9,23.7,56,70.7,0,0,0,0,0,0.04,0.95,0.2,1.1,162,28.58,29.23,0,33.2,22.3,53,0,40,5.4
88,30,34.4,23.4,56,83.1,0,0,0,0,0,0.04,0,0.5,4.5,148,28.62,29.27,0.085714286,32.5,22,54,0,20,9.4
88,30,31.5,19.3,45,62.5,0,0,0,0,0,0.04,0,1.2,5.8,149,28.72,29.38,0.085714286,33.3,23.3,56,0,330,7.6
88,30.7,32.3,19.5,45,92.2,0,0,0,0,0,0,0,0.6,2.2,167,28.69,29.35,0.157142857,33.2,24.4,60,0,0,0
88,28.1,30.9,22,58,55.9,0,0,0,0,0,0,0,0.8,3.4,201,28.69,29.34,0,31.5,18.8,47,0,90,7.6
88,27.7,30.8,23.3,65,37.3,0,0.17,0.03,0.03,0.03,0.03,0.03,0.1,2.2,171,28.72,29.38,0.1,30.8,18.9,49,0,50,9.4
88,32.5,35.7,21.2,45,43.8,0,0,0,0,0,0,0.03,0.3,2.2,189,28.6,29.25,0,29.5,21.2,61,0,20,7.6
88,32.7,37.5,22.8,50,35,0,0,0,0,0,0,0.03,0.1,1.1,177,28.6,29.25,0,29.5,22.2,65,0,30,9.4
88,33.1,39.4,24,52,55.4,0,0,0,0,0,0,0.03,0,1.1,109,28.57,29.22,0.071428571,30,20.3,56,0.1,70,7.6
88,33.4,39.9,24.2,51,56.2,0,0,0,0,0,0,0.03,0.2,1.1,156,28.57,29.23,0,29.3,20.5,59,0,50,5.4
88,32.8,34.8,19.7,46,58.3,0,0,0,0,0,0,0.03,1.4,3.4,163,28.64,29.29,0.257142857,30.5,20.1,54,0,80,9.4
88,30.9,33.2,20.5,54,75.6,0,0,0,0,0,0,0.03,0.6,3.4,165,28.67,29.33,0.871428571,32.3,15.8,37,0,50,5.4
88,30.6,33.3,20.9,56,100.1,0,0,0,0,0,0,0.03,1.2,3.4,179,28.71,29.36,0.114285714,31.6,18.2,45,0,0,0
88,30.8,33.2,20.6,55,36.7,0,0,0,0,0,0,0.03,1.1,3.4,128,28.69,29.34,0,33.5,19.9,45,0,100,9.4
88,31.1,32.7,19.4,50,55.3,0,0,0,0,0,0,0.03,0.9,2.2,266,28.68,29.34,0,33.3,20.1,46,0,80,9.4
88,30.7,32.8,20.1,53,65.7,0,0,0,0,0,0,0.03,1.1,2.2,185,28.7,29.35,0.157142857,34.5,21.2,46,0,0,0
88,30.6,32.5,19.9,53,75.6,0,0,0,0,0,0,0.03,0.8,2.2,164,28.71,29.36,0,35,20.2,42,0,0,0
88,31.2,33.3,20.1,52,60.8,0,0,0,0,0,0,0.03,0.7,3.4,138,28.69,29.35,0,33.5,24.1,58,0,200,5.4
88,31.6,34.8,21.5,55,53,0,0,0,0,0,0,0.03,0.7,2.2,156,28.67,29.32,0.314285714,31,24.9,70,0,150,3.6
88,31.3,34.7,21.7,57,67.2,0,0,0,0,0,0,0.03,1.8,3.4,196,28.66,29.31,0.271428571,33.8,21.6,49,0,100,7.6
88,30.5,31.9,19.2,51,68.2,0,0,0,0,0,0,0.03,2.3,5.8,234,28.7,29.35,0.414285714,30.5,19.5,52,0.1,69,18.7
88,28.3,28.8,16.9,50,85.1,0,0,0,0,0,0,0.03,2.1,5.8,150,28.77,29.43,0.014285714,28.4,20.2,61,0.2,36,21.2
88,27,27.4,15.6,50,57.6,0,0,0,0,0,0,0.03,0.7,3.4,124,28.76,29.41,0.042857143,30.4,18.5,49,0,57,15.1
88,28.1,28.2,15.3,46,47.1,0,0,0,0,0,0,0.03,0.9,3.4,150,28.67,29.32,0,29.6,17.4,48,0,59,16.6
88,29.3,29.8,17,48,58.4,0,0,0,0,0,0,0,0.1,1.1,152,28.6,29.26,0,32.1,20,49,0,100,3.6
88,31.6,32.5,18,44,48.8,0,0,0,0,0,0,0,0.4,1.1,144,28.61,29.26,0,32.5,18.7,44,0,50,7.6
88,31.7,33.4,19.4,48,46.2,0,0,0,0,0,0,0,1.3,2.2,156,28.63,29.29,0.014285714,32.5,19.4,46,0,60,9.4
88,31.2,32.6,19,48,43.9,0,0,0,0,0,0,0,0.8,2.2,163,28.64,29.29,0.057142857,32.5,21.4,52,0,60,5.4
88,30.8,31.8,18.5,48,75.5,0,0,0,0,0,0,0,0.6,2.2,143,28.65,29.3,0.028571429,32.7,21.9,53,0,70,7.6
88,31.4,32.8,19.1,48,43.2,0,0,0,0,0,0,0,0.4,2.2,198,28.62,29.28,0,31.1,18.5,47,0,60,13
88,31.7,34.1,20.3,51,47.9,0,0,0,0,0,0,0,0.9,2.2,226,28.66,29.31,0.2,29.5,16.7,46,0,60,13
88,30.1,31.5,19.1,52,67.7,0,0,0,0,0,0,0,1.1,2.2,254,28.72,29.38,0,28.5,14.7,43,0,60,13
88,28.4,29.1,17.6,52,64.8,0,0,0,0,0,0,0,0.7,1.1,170,28.69,29.35,0,29.6,15.7,43,0,50,13
